title;authors;affiliations;publication;year;paper_type;citation;download;keywords_ieee;keywords_controlled;keywords_non_controlled;keywords_author;url;acronym
"Mining Patterns of Sensitive Data Usage";"Vitalii Avdiienko";"Software Eng. Dept., Saarland Univ., Saarbrucken, Germany";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"1";"116";"Androids|Humanoid robots|Data mining|Malware|Software engineering|Medical services";"program diagnostics|Android (operating system)|data mining|data privacy|invasive software|mobile computing";"malware identification|pattern mining|sensitive data usage pattern|Android application|application security|user privacy|static taint analysis|dynamic taint analysis|mobile applications";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203107";"ICSE"
"Search-Based Migration of Model Variants to Software Product Line Architectures";"Wesley Klewerton Guez Assun&#x00E7;&#x00E3;o";"DINF, Fed. Univ. of Parana, Curitiba, Brazil";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"113";"Software|Feature extraction|Programmable logic arrays|Unified modeling language|Software product lines|Medical services";"software product lines|software architecture";"search-based migration algorithm|product line architecture|search-based algorithm|SPL migration process|SPL architecture|software product line architecture";"Search-Based Software Engineering|Reuse|Migration|Re-engineering|Software Product Line";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203108";"ICSE"
"On the Architecture-Driven Development of Software-Intensive Systems-of-Systems";"Everton Cavalcante";"Dept. of Inf. &amp; Appl. Math., Fed. Univ. of Rio Grande do Norte, Natal, Brazil";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"109";"Computer architecture|Runtime|Context|Middleware";"software quality|formal specification|software architecture";"formal specification|architecture-driven development|software-intensive systems-of-systems|heterogeneous independent systems|SoS software architectures|architecture-centric approach";"architecture-driven engineering|systems-of-systems|SoS|software architecture";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203109";"ICSE"
"Automatic Documentation Generation via Source Code Summarization";"Paul W. McBurney";"Dept. of Comput. Sci. &amp; Eng., Univ. of Notre Dame, Notre Dame, IN, USA";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"1";"153";"Documentation|Software|Java|Context|Natural languages|Semantics|Measurement";"system documentation|software quality|source code (software)";"source code documentation|source code summarization|software documentation|programmers|automatic documentation tools|automatic documentation generation|summary quality|source code structure similarity";"software engineering|source code summarization|automatic documentation";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203110";"ICSE"
"A Declarative Foundation for Comprehensive History Querying";"Reinout Stevens";"Software Languages Lab., Vrije Univ. Brussel, Brussels, Belgium";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"2";"68";"Software|History|Database languages|Libraries|Programming|Medical services|Java";"source code (software)|configuration management|data mining|project management|software maintenance";"git repository|declarative foundation|comprehensive history querying|software repository mining|software project evolution|version control system|source code characteristics|general-purpose history querying tool|QwalKeko|single uniform language";"mining software repositories|declarative programming|program querying|history querying";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203111";"ICSE"
"An Integrated Multi-Agent-Based Simulation Approach to Support Software Project Management";"Davy de Medeiros Baia";"Inf. Dept., Pontifical Catholic Univ. of Rio de Janeiro, Rio de Janeiro, Brazil";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"1";"146";"Software|Data models|Project management|Adaptation models|Planning|Real-time systems|Decision making";"software development management|learning (artificial intelligence)|multi-agent systems|planning|project management";"self-adaptive project planning|integrated multiagent-based simulation approach|software project management|software development processes|project-related situation-awareness|learning techniques|static situation-awareness data|dynamic situation-awareness data";"multi-agent-based simulation|software project management";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203112";"ICSE"
"Towards Generation of Software Development Tasks";"C. Albert Thompson";"Dept. of Comput. Sci., Univ. of British Columbia, Vancouver, BC, Canada";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"47";"Software|Data mining|Programming|Logic gates|Electronic mail|Stress|Medical services";"software engineering|data mining";"syntactic mining|software development tasks|fine-grained sub-tasks";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203113";"ICSE"
"Contributor's Performance, Participation Intentions, Its Influencers and Project Performance";"Ayushi Rastogi";"Indraprastha Inst. of Inf. Technol., Delhi, India";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"93";"Atmospheric measurements|Particle measurements|Open source software|Data mining|Software measurement|Software engineering";"software development management|data mining|project management";"contributor engagement|participation intentions|project performance|contributor performance|software project performance|software development team|historical data mining|software repository";"Software Projects|Mining Software Repositories|Performance|Participation Intentions";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203114";"ICSE"
"Supporting Scientific SE Process Improvement";"Erika S. Mesh";"Dept. of Comput. &amp; Inf. Sci., Rochester Inst. of Technol., Rochester, NY, USA";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"1";"88";"Software|Software engineering|Best practices|Conferences|Interviews|Scientific computing|Encoding";"software process improvement|natural sciences computing|project management|risk management|software development management";"scientific SE process improvement|SciSPIF|Scientific Software Process Improvement Framework|scientific software development project|software engineering experts|SPI decision|software process improvement|scientific software community|risk mitigation|software development process|scientific software complexity";"scientific software|software engineering|process improvement";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203115";"ICSE"
"A Comprehensive Framework for the Development of Dynamic Smart Spaces";"Adnan Shahzada";"Dipt. di Elettron., Inf. e Bioingegneria, Politec. di Milano, Milan, Italy";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"82";"Buildings|Middleware|Conferences|Semantics|Intelligent sensors|Context";"middleware";"external simulators|dynamic smart space development|development life-cycle|smart space designing|middleware infrastructure|semantic layer|heterogeneous elements";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203116";"ICSE"
"Verification of Android Applications";"Heila van der Merwe";"Comput. Sci. Dept., Univ. of Stellenbosch, Stellenbosch, South Africa";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"481";"Androids|Humanoid robots|Java|Libraries|Analytical models|Model checking";"program verification|Android (operating system)|Java";"application execution|verification|Android applications|model checking|Java path finder|JPF-Android|Android platform|Java model checker|analysis engine|corner-case errors detection|hard-to-find errors detection|execution paths|property violations|deadlocks|runtime exceptions|Checklists";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203117";"ICSE"
"A Security Practices Evaluation Framework";"Patrick Morrison";"Dept. of Comput. Sci., North Carolina State Univ., Raleigh, NC, USA";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"1";"110";"Security|Software|Software measurement|Ontologies|Context|Size measurement|Process control";"software quality|security of data|software development management|software metrics";"industrial projects|security practice evaluation framework|software development teams|software development security practices|software engineering data|software development process|SP-EF|evidence-based practice selection|software development security practice ontology";"Software Development Lifecycle.|Security|Quality|Measurement Frameworks";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203118";"ICSE"
"The Green Lab: Experimentation in Software Energy Efficiency";"Giuseppe Procaccianti|Patricia Lago|Antonio Vetr&#x00F2;|Daniel M&#x00E9;ndez Fern&#x00E1;ndez|Roel Wieringa";"Dept. of Comput. Sci., VU Univ., Amsterdam, Netherlands|Dept. of Comput. Sci., VU Univ., Amsterdam, Netherlands|Tech. Univ. Munchen, Munich, Germany|Tech. Univ. Munchen, Munich, Germany|Univ. of Twente, Enschede, Netherlands";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"8";"114";"Software|Energy consumption|Software engineering|Energy measurement|Complexity theory|Software measurement|Conferences";"software engineering|energy conservation|green computing";"bottom-up discovery approach|green laboratory|software energy efficiency|hypothesis-driven approach";"Empirical Methods|Energy Efficiency|Software Engineering";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203119";"ICSE"
"Software Requirements Patterns - A State of the Art and the Practice";"Xavier Franch";"Group of Software &amp; Service Eng. (GESSI), Univ. Politec. de Catalunya (UPC-BarcelonaTech), Barcelona, Spain";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"200";"Software|Requirements engineering|Software engineering|Bibliographies|Systematics|Proposals|Industries";"systems analysis|formal specification|formal verification|object-oriented programming";"requirements engineering|software requirement patterns|knowledge reuse";"Survey|Software Requirements Patterns|Requirements Engineering|Patterns|Requirements Reuse|Knowledge Engineering|Empirical Study|Literature Review";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203120";"ICSE"
"Agile Project Management: From Self-Managing Teams to Large-Scale Development";"Tore Dyb&#x00E5;|Torgeir Dings&#x00F8;yr";"SINTEF, Trondheim, Norway|SINTEF, Trondheim, Norway";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"811";"Software|Project management|Planning|Complexity theory|Uncertainty|Redundancy";"software prototyping|project management|software development management";"software engineering|agile project management|self-managing teams|agile software development|software project planning|software projects management|large-scale industrial project development";"Portfolio Management|Software Engineering|Large-Scale|Project Management|Agile Development|Self-Management";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203121";"ICSE"
"Software Engineering for Privacy in-the-Large";"Pauline Anthonysamy|Awais Rashid";"Security-Lancaster Res. Centre, Lancaster Univ., Lancaster, UK|Google, Zurich, Switzerland";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"93";"Privacy|Software engineering|Data privacy|Security|Biological system modeling|Usability";"software engineering|data privacy";"privacy-in-the-large|software engineering|privacy management|ultra-large-scale ecosystem";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203122";"ICSE"
"The Use of Text Retrieval and Natural Language Processing in Software Engineering";"Venera Arnaoudova|Sonia Haiduc|Andrian Marcus|Giuliano Antoniol";"Univ. of Texas at Dallas, Richardson, TX, USA|Florida State Univ., Tallahassee, FL, USA|Univ. of Texas at Dallas, Richardson, TX, USA|Polytech. Montreal, Montreal, QC, Canada";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"1";"343";"Software|Software engineering|Natural language processing|Committees|Conferences|Tutorials|Information retrieval";"text analysis|information retrieval|natural language processing|software engineering";"natural language processing techniques|text retrieval|software engineering";"natural language processing|Text retrieval";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203123";"ICSE"
"Exploration, Analysis, and Manipulation of&#x00A0;&#x00A0;Source Code Using srcML";"Jonathan I. Maletic|Michael L. Collard";"Dept. of Comput. Sci., Kent State Univ., Kent, OH, USA|Dept. of Comput. Sci., Univ. of Akron, Akron, OH, USA";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"84";"Software|XML|Conferences|Software engineering|Tutorials|Robustness";"XML|C++ language|Java|program compilers|program diagnostics|source code (software)";"custom analysis|source code exploration|srcML|source code analysis|source code manipulation|custom software analysis|manipulation tools|XML representation|C-C++-C#-Java source code|parsing technology|XPath|XSLT";"XML|srcML|static program analysis|program transformation";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203124";"ICSE"
"Reactive Programming: A Walkthrough";"Guido Salvaneschi|Alessandro Margara|Giordano Tamburrelli";"Tech. Univ. Darmstadt, Darmstadt, Germany|Univ. della Svizzera italiana, Lugano, Switzerland|Vrije Univ., Amsterdam, Netherlands";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"3";"286";"Software engineering|Software|Programming profession|Computer languages|Observers|Graphical user interfaces";"software engineering|programming languages";"programming language|reactive programming|reactive software development|programming abstraction";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203125";"ICSE"
"Load Testing Large-Scale Software Systems";"Zhen Ming Jack Jiang";"Dept. of Electr. Eng. &amp; Comput. Sci., York Univ., Toronto, ON, Canada";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"129";"Testing|Software systems|Software engineering|Conferences|Computer science|Monitoring";"program testing";"large-scale software system load testing|Dropbox|Amazon";"scalability|load testing|software testing|performance";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203126";"ICSE"
"Big(ger) Data in Software Engineering";"Meiyappan Nagappan|Mehdi Mirakhorli";"Dept. of Software Eng., Rochester Inst. of Technol., Rochester, NY, USA|Dept. of Software Eng., Rochester Inst. of Technol., Rochester, NY, USA";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"336";"Software|Software engineering|Big data|Data mining|Companies|Conferences|Ecosystems";"software engineering|Big Data|data analysis";"software project|Big Data analytics|software engineering";"Software Engineering|Big Data";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203127";"ICSE"
"The Art and Science of Analyzing Software Data; Quantitative Methods";"Tim Menzies|Leandro Minku|Fayola Peters";"Comput. Sci., North Carolina State Univ., Raleigh, NC, USA|Comptuer Sci., Univ. of Birmingham, Birmingham, UK|Lero, Univ. of Limerick, Limerick, Ireland";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"215";"Software|Software engineering|Computer science|Tutorials|Data mining|Data models|Art";"software quality|data analysis|data mining";"data mining|software data analysis|quantitative methods|quantitative data science tools|software engineers";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203128";"ICSE"
"10th International Workshop on Automation of Software Test (AST 2015)";"Rajesh Subramanyan|Leonardo Mariani|Dan Hao";"||";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"135";"Conferences|Software|Automation|Software testing|Graphical user interfaces|Speech";"";"";"Test Oracle|Automation of Software Test|Software Testing|Software Tools";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203129";"ICSE"
"1st International Workshop on Big Data Software Engineering (BIGDSE 2015)";"Luciano Baresi|Tim Menzies|Andreas Metzger|Thomas Zimmermann";"|||";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"172";"Big data|Software engineering|Data mining|Conferences|Software systems|Market research";"";"";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203130";"ICSE"
"3rd International Workshop on Conducting Empirical Studies in Industry (CESI 2015)";"Xavier Franch|Nazim H. Madhavji|Carlos Henrique C. Duarte";"||";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"39";"Conferences|Industries|Software|Software engineering|Context|Committees|Australia";"";"";"software industry|Empirical studies";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203131";"ICSE"
"8th International Workshop on Cooperative and Human Aspects of Software Engineering (CHASE 2015)";"Andrew Begel|Rafael Prikladnicki|Yvonne Dittrich|Cleidson R. B. de Souza|Anita Sarma|Sandeep Athavale";"|||||";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"65";"Software|Software engineering|Conferences|Stakeholders|Teamwork|Committees";"";"";"Human Factors|Management|Performance";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203132";"ICSE"
"1st International Workshop on Complex faUlts and Failures in LargE Software Systems (COUFLESS 2015)";"Mark Grechanik|Javier Alonso|Allen P. Nikora";"||";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"49";"Conferences|Databases|Debugging|Software systems|Committees";"";"";"debugging|Workshop|Mandelbug|failure";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203133";"ICSE"
"2nd International Workshop on Context for Software Development (CSD 2015)";"Kelly Blincoe|Daniela Damian|Giuseppe Valetto|James D. Herbsleb";"|||";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"44";"Context|Software|Conferences|Software engineering|Context modeling|Computer science|Committees";"";"";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203134";"ICSE"
"2nd International Workshop on Crowd Sourcing in Software Engineering (CSI-SE 2015)";"Gordon Fraser|Thomas D. LaToza|Leonardo Mariani";"||";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"136";"Crowdsourcing|Software engineering|Conferences|Usability|Testing|Games";"";"";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203135";"ICSE"
"3rd FME Workshop on Formal Methods in Software Engineering (FormaliSE 2015)";"Stefania Gnesi|Nico Plat";"|";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"72";"Software|Conferences|Software engineering|Security|Committees|Industries|Collaboration";"";"";"Software engineering|Formal methods";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203136";"ICSE"
"4th International Workshop on Games and Software Engineering (GAS 2015)";"Judith Bishop|Kendra M.L. Cooper|Walter Scacchi|Jim Whitehead";"|||";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"76";"Games|Software engineering|Conferences|Engines|Education|Quality assurance|Computer architecture";"";"";"software engineering|Game engineering";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203137";"ICSE"
"4th International Workshop on Green and Sustainable Software (GREENS 2015)";"Maurizio Morisio|Patricia Lago|Niklaus Meyer|Hausi A. M&#x00FC;ller|Giuseppe Scanniello";"||||";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"106";"Green products|Software engineering|Conferences|Industries|Software systems|Energy consumption";"";"";"green IT|Green software engineering|green design|key green indicators (KGIs)|green monitoring|green adaptation|smart green sensors and actuators|self-greening|energy efficiency|sustainability|green scheduling|green computing";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203138";"ICSE"
"4th SEMAT Workshop on General Theory of Software Engineering (GTSE 2015)";"Paul Ralph|Gregor Engels|Ivar Jacobson|Michael Goedicke";"Univ. of Auckland, Auckland, New Zealand|Univ. of Paderborn, Paderborn, Germany|Ivar Jacobson Int., Verbier, Switzerland|Uni Duisburg-Essen, Paluno, Duisburg-Essen, Germany";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"77";"Software engineering|Conferences|Software|Jacobian matrices|Concrete|Complexity theory|Education";"software engineering";"GTSE workshop|SEMAT|Software Engineering Method and Theory|General Theory of Software Engineering";"field study|Research methodology|process theory|questionnaire|case study";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203139";"ICSE"
"7th International Workshop on Modeling in Software Engineering (MiSE 2015)";"Jeff Gray|Marsha Chechik|Vinay Kulkarni|Richard F. Paige";"|||";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"52";"Conferences|Analytical models|Software|Adaptation models|Software engineering|Electronic mail";"";"";"software tools|modeling|quality";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203140";"ICSE"
"7th International Workshop on Principles of Engineering Service-Oriented and Cloud Systems (PESOS 2015)";"Muhammad Ali Babar|Hye-young Paik|Malolan Chetlur|Michael Bauer|Amir Molzam Sharifloo";"||||";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"110";"Conferences|Collaboration|Software as a service|Cloud computing|Service-oriented architecture";"";"";"service-oriented systems|Software engineering|software services|collaborative services|cloud computing|cloud services|SOA|service-oriented architecture";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203141";"ICSE"
"5th International Workshop on Product LinE Approaches in Software Engineering PLE for a Sustainable Society (PLEASE 2015)";"Julia Rubin|Goetz Botterweck|Andreas Pleuss|David Weiss";"|||";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"62";"Conferences|Software product lines|Software|Committees|Electronic mail|Concrete";"";"";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203142";"ICSE"
"4th International Workshop on Realizing AI Synergies in Software Engineering (RAISE 2015)";"Burak Turhan|Ayse Bener|Rachel Harrison|Andriy Miransky|Cetin Mericli|Leandro Minku";"|||||";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"66";"Artificial intelligence|Conferences|Software engineering|Electronic mail|Software|Computer science|Robots";"";"";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203143";"ICSE"
"2nd International Workshop on Rapid Continuous Software Engineering (RCoSE 2015)";"Matthias Tichy|Jan Bosch|Michael Goedicke|Brian Fitzgerald";"|||";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"1";"108";"Conferences|Software engineering|Software|Companies|Testing";"";"";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203144";"ICSE"
"3rd International Workshop on Release Engineering (RELENG 2015)";"Bram Adams|Stephany Bellomo|Christian Bird|Foutse Khomh|Kim Moir";"||||";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"76";"Software|Conferences|Software engineering|Google|Packaging|Testing|Maintenance engineering";"";"";"continuous delivery|release engineering|integration|build system|test execution|packaging|deployment";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203145";"ICSE"
"2nd International Workshop on Requirements Engineering and Testing (RET 2015)";"Elizabeth Bjarnason|Mirko Morandini|Markus Borg|Michael Unterkalmsteiner|Michael Felderer|Matthew Staats";"|||||";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"54";"Testing|Conferences|Requirements engineering|Software engineering|Software|Industries|Joining processes";"";"";"alignment|requirements engineering|testing";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203146";"ICSE"
"Second International Workshop on Software Architecture and Metrics (SAM 2015)";"Ipek Ozkaya|Robert L. Nord|Heiko Koziolek|Paris Avgeriou";"|||";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"1";"146";"Computer architecture|Conferences|Software architecture|Software|Software measurement";"";"";"Software architecture; metrics; software analytics; technical debt; software quality; software maintenance and evolution; empirical software engineering; qualitative methods";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203147";"ICSE"
"8th International Workshop on Search-Based Software Testing (SBST 2015)";"Gregory Gay|Giuliano Antoniol";"|";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"111";"Conferences|Software engineering|Software|Software testing|Search problems|Measurement";"";"";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203148";"ICSE"
"SE4HPCS'15: The 2015 International Workshop on Software Engineering for High Performance Computing in Science";"Jeffrey C. Carver|Neil Chue Hong|Paolo Ciancarini";"||";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"73";"Software|Conferences|Software engineering|Computer architecture|Scientific computing|Computational modeling|High performance computing";"";"";"High Performance Computing|Software Engineering|Computational Science|Computational Engineering";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203149";"ICSE"
"2nd International Workshop on Software Engineering Methods in Spreadsheets (SEMS 2015)";"Felienne Hermans|Richard F. Paige|Peter Sestoft";"||";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"41";"Conferences|Software engineering|Industries|Committees|Electronic mail|Software|Testing";"";"";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203150";"ICSE"
"2nd International Workshop on Software Engineering Research and Industrial Practice (SER&amp;amp;IP 2015)";"Judith Bishop|Rakesh Shukla|Forrest Shull|Sagar Sen";"|||";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"44";"Conferences|Industries|Software engineering|Collaboration|Software|Business|Australia";"";"";"challenges|Software engineering research|industrial practice|researchers|practitioners|collaboration";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203151";"ICSE"
"1st International Workshop on Software Engineering for Smart Cyber-Physical Systems (SEsCPS 2015)";"Tomas Bures|Denny Weyns|Mark Klein|Rodolfo E. Haber";"|||";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"79";"Conferences|Software engineering|Cyber-physical systems|Software|Adaptation models|Committees|Technological innovation";"";"";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203152";"ICSE"
"3rd International Workshop on Software Engineering for Systems-of-Systems (SESoS 2015)";"Flavio Oquendo|Paris Avgeriou|Carlos E. Cuesta|Khalil Drira|Elisa Yumi Nakagawa|Jos&#x00E9; Carlos Maldonado|Andrea Zisman";"||||||";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"81";"Software engineering|Conferences|Electronic mail|Committees|Software|Research and development|Vehicle dynamics";"";"";"Ultra-large Scale Systems|System-of-Systems|Software Engineering";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203153";"ICSE"
"1st International Workshop on Software Protection (SPRO 2015)";"Paolo Falcarin|Brecht Wyseur";"|";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"84";"Software protection|Conferences|Software|Software engineering|Security|Analytical models|Reverse engineering";"";"";"security metrics|Obfuscation|Virtualization|Information Hiding|security modelling";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203154";"ICSE"
"1st International Workshop on TEchnical and LEgal aspects of data pRIvacy and Security (TELERISE 2015)";"Ilaria Matteucci|Paolo Mori|Marinella Petrocchi";"||";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"60";"Conferences|Law|Security|Data privacy|Privacy|Organizations";"";"";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203155";"ICSE"
"5th International Workshop on the Twin Peaks of Requirements and Architecture (TwinPeaks 2015)";"Matthias Galster|Mehdi Mirakhorli";"|";"Software Engineering (ICSE), 2015 IEEE/ACM 37th IEEE International Conference on";"2015";"Conference Publication";"0";"80";"Conferences|Computer architecture|Requirements engineering|Software architecture|Software|Context";"";"";"agile|twin peaks|requirements engineering|software architecture";"https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203156";"ICSE"
